Copy Type	[M, N, K]	[kTM, kTN, kTK]	[kWarpPerRow, kWarpPerCol]	CutlassTime(ms)	TiledCUDATime(ms)	Ratio
Whole	[4096, 4096, 2048]	[64, 32, 32]	[2, 2]	0.5807	1.0871	1.8721
G2S	[4096, 4096, 2048]	[64, 32, 32]	[2, 2]	0.5803	1.0864	1.8722
